Seasonal,T24*7Seasonal,T24Dry,T24Dew,Hour,Date,WeekDay,Month
3161,4460,26,10,1,19,7,1
3684,5015,25,8,2,19,7,1
4014,5329,25,5,3,19,7,1
4167,5478,24,4,4,19,7,1
4143,5394,23,3,5,19,7,1
3791,5002,21,0,6,19,7,1
3102,4231,18,-1,7,19,7,1
2333,3375,17,-2,8,19,7,1
1532,2422,16,-3,9,19,7,1
963,1705,17,-4,10,19,7,1
783,1281,19,-5,11,19,7,1
888,1225,20,-4,12,19,7,1
1216,1364,21,-4,13,19,7,1
1623,1613,22,-3,14,19,7,1
1922,1783,23,-3,15,19,7,1
1986,1745,24,-3,16,19,7,1
1302,895,23,-3,17,19,7,1
0,0,21,-2,18,19,7,1
112,189,21,-1,19,19,7,1
623,765,20,0,20,19,7,1
1164,1368,19,2,21,19,7,1
1920,2042,19,2,22,19,7,1
2911,3060,19,3,23,19,7,1
3939,4158,19,4,24,19,7,1
4716,4983,21,5,1,20,1,1
5268,5537,22,7,2,20,1,1
5562,5835,24,10,3,20,1,1
5701,5965,26,11,4,20,1,1
5638,5932,27,13,5,20,1,1
5367,5676,28,14,6,20,1,1
4767,5116,29,16,7,20,1,1
4180,4442,30,16,8,20,1,1
3356,3441,31,18,9,20,1,1
2763,2594,33,20,10,20,1,1
2485,2125,36,21,11,20,1,1
2361,1890,38,22,12,20,1,1
2287,1785,40,22,13,20,1,1
2316,1846,42,23,14,20,1,1
2410,1915,44,23,15,20,1,1
2350,1738,44,23,16,20,1,1
1569,817,44,23,17,20,1,1
53,0,42,23,18,20,1,1
0,137,41,24,19,20,1,1
614,804,41,24,20,20,1,1
1026,1309,40,25,21,20,1,1
1718,2362,38,26,22,20,1,1
2588,3620,38,28,23,20,1,1
3611,4764,39,29,24,20,1,1
6933,6457,39,29,1,21,2,1
7290,6853,40,29,2,21,2,1
7413,7052,40,29,3,21,2,1
7361,7054,40,29,4,21,2,1
6970,6669,39,30,5,21,2,1
6032,5508,39,29,6,21,2,1
4668,3482,39,29,7,21,2,1
3540,2264,38,29,8,21,2,1
2774,1981,39,29,9,21,2,1
2222,1865,41,29,10,21,2,1
1866,1732,45,28,11,21,2,1
1903,1802,48,27,12,21,2,1
2075,1990,50,26,13,21,2,1
2051,2176,49,26,14,21,2,1
2100,2309,47,26,15,21,2,1
1995,2237,46,24,16,21,2,1
1121,1332,45,17,17,21,2,1
0,0,41,15,18,21,2,1
187,60,37,14,19,21,2,1
733,528,34,13,20,21,2,1
1466,1262,32,11,21,21,2,1
2746,2347,30,10,22,21,2,1
4144,3721,29,8,23,21,2,1
5438,5017,28,7,24,21,2,1
6702,6632,27,6,1,22,3,1
7101,6973,25,8,2,22,3,1
7255,7175,24,6,3,22,3,1
7218,7192,23,6,4,22,3,1
6812,6858,21,5,5,22,3,1
5598,5687,20,3,6,22,3,1
3503,3557,20,4,7,22,3,1
2404,2334,19,5,8,22,3,1
2237,2185,20,5,9,22,3,1
2197,2112,21,5,10,22,3,1
2138,2023,22,4,11,22,3,1
2175,1945,24,4,12,22,3,1
2307,2028,25,5,13,22,3,1
2392,2112,26,5,14,22,3,1
2485,2213,26,6,15,22,3,1
2404,2187,26,6,16,22,3,1
1727,1316,26,9,17,22,3,1
173,0,24,13,18,22,3,1
0,53,24,15,19,22,3,1
281,513,23,16,20,22,3,1
941,1263,23,18,21,22,3,1
1931,2426,22,18,22,22,3,1
3470,3910,21,18,23,22,3,1
4716,5175,21,18,24,22,3,1
6433,6825,21,17,1,23,4,1
6801,7222,20,16,2,23,4,1
6922,7395,21,17,3,23,4,1
6854,7351,20,15,4,23,4,1
6457,6935,20,13,5,23,4,1
5357,5780,19,11,6,23,4,1
3182,3942,18,11,7,23,4,1
1986,2742,18,9,8,23,4,1
1940,2371,17,6,9,23,4,1
2111,2065,18,4,10,23,4,1
2024,1756,19,3,11,23,4,1
1988,1585,20,1,12,23,4,1
2180,1546,20,0,13,23,4,1
2324,1617,20,-1,14,23,4,1
2509,1779,20,-2,15,23,4,1
2410,1741,21,-2,16,23,4,1
1714,1009,20,-3,17,23,4,1
137,0,17,-3,18,23,4,1
0,257,17,-3,19,23,4,1
252,895,15,-2,20,23,4,1
1024,1728,14,-5,21,23,4,1
2153,2964,13,-5,22,23,4,1
3479,4449,12,-4,23,23,4,1
4884,5761,11,-6,24,23,4,1
5889,5969,10,-5,1,24,5,1
6236,6385,9,-5,2,24,5,1
6374,6571,8,-6,3,24,5,1
6361,6564,8,-6,4,24,5,1
5983,6223,7,-6,5,24,5,1
4877,5083,7,-7,6,24,5,1
2603,2993,6,-7,7,24,5,1
1566,2011,5,-8,8,24,5,1
1439,1964,6,-7,9,24,5,1
1671,2024,8,-8,10,24,5,1
1677,1985,9,-9,11,24,5,1
1868,2101,10,-9,12,24,5,1
2140,2247,12,-10,13,24,5,1
2285,2337,13,-11,14,24,5,1
2569,2410,13,-10,15,24,5,1
2392,2264,14,-10,16,24,5,1
1786,1211,12,-12,17,24,5,1
338,0,11,-12,18,24,5,1
0,10,10,-11,19,24,5,1
539,432,9,-11,20,24,5,1
1044,1049,8,-12,21,24,5,1
2210,2157,7,-11,22,24,5,1
3677,3558,6,-11,23,24,5,1
5004,4848,5,-11,24,24,5,1
4494,6117,4,-11,1,25,6,1
4921,6514,3,-11,2,25,6,1
5104,6669,3,-11,3,25,6,1
5086,6672,3,-11,4,25,6,1
4738,6198,1,-10,5,25,6,1
3681,4943,1,-11,6,25,6,1
1677,2789,1,-11,7,25,6,1
669,1605,1,-11,8,25,6,1
523,1480,2,-11,9,25,6,1
565,1481,5,-11,10,25,6,1
666,1412,8,-10,11,25,6,1
959,1506,12,-10,12,25,6,1
1239,1748,14,-10,13,25,6,1
1429,1867,17,-10,14,25,6,1
1777,2051,18,-11,15,25,6,1
1817,2012,18,-10,16,25,6,1
1160,1294,17,-11,17,25,6,1
0,0,15,-11,18,25,6,1
103,55,15,-11,19,25,6,1
575,524,14,-11,20,25,6,1
1263,1110,13,-9,21,25,6,1
2201,1943,12,-8,22,25,6,1
3398,3118,11,-8,23,25,6,1
4602,4341,11,-9,24,25,6,1
4517,3161,10,-9,1,26,7,1
4976,3684,10,-8,2,26,7,1
5169,4014,9,-9,3,26,7,1
5217,4167,8,-9,4,26,7,1
5030,4143,8,-8,5,26,7,1
4541,3791,8,-8,6,26,7,1
3732,3102,7,-8,7,26,7,1
2924,2333,7,-8,8,26,7,1
2036,1532,8,-8,9,26,7,1
1520,963,11,-8,10,26,7,1
1394,783,13,-8,11,26,7,1
1542,888,16,-8,12,26,7,1
1827,1216,18,-8,13,26,7,1
2191,1623,19,-8,14,26,7,1
2395,1922,20,-8,15,26,7,1
2328,1986,21,-8,16,26,7,1
1579,1302,20,-6,17,26,7,1
94,0,20,-6,18,26,7,1
0,112,20,-5,19,26,7,1
426,623,19,-4,20,26,7,1
900,1164,19,-3,21,26,7,1
1641,1920,18,2,22,26,7,1
2632,2911,17,5,23,26,7,1
3641,3939,16,9,24,26,7,1
4516,4716,15,10,1,27,1,1
4972,5268,14,9,2,27,1,1
5196,5562,14,8,3,27,1,1
5277,5701,12,6,4,27,1,1
5217,5638,11,6,5,27,1,1
4930,5367,11,5,6,27,1,1
4311,4767,10,4,7,27,1,1
3696,4180,10,3,8,27,1,1
2881,3356,11,3,9,27,1,1
2379,2763,13,3,10,27,1,1
2191,2485,16,3,11,27,1,1
2192,2361,18,3,12,27,1,1
2342,2287,20,3,13,27,1,1
2656,2316,22,2,14,27,1,1
2868,2410,22,-1,15,27,1,1
2784,2350,22,-2,16,27,1,1
1949,1569,21,-2,17,27,1,1
274,53,19,-3,18,27,1,1
0,0,19,-4,19,27,1,1
413,614,18,-3,20,27,1,1
1053,1026,17,-3,21,27,1,1
2154,1718,16,-2,22,27,1,1
3412,2588,15,-2,23,27,1,1
4546,3611,14,-2,24,27,1,1
6221,6933,14,-1,1,28,2,1
6542,7290,13,0,2,28,2,1
6675,7413,13,0,3,28,2,1
6640,7361,12,0,4,28,2,1
6278,6970,11,0,5,28,2,1
5137,6032,11,0,6,28,2,1
3048,4668,11,1,7,28,2,1
1972,3540,10,0,8,28,2,1
1833,2774,13,1,9,28,2,1
1810,2222,16,1,10,28,2,1
1694,1866,19,0,11,28,2,1
1694,1903,22,0,12,28,2,1
1737,2075,25,-1,13,28,2,1
1790,2051,27,-1,14,28,2,1
1929,2100,29,-2,15,28,2,1
1768,1995,29,-2,16,28,2,1
1025,1121,29,-3,17,28,2,1
0,0,26,-3,18,28,2,1
347,187,25,-3,19,28,2,1
1027,733,23,-3,20,28,2,1
1937,1466,21,-3,21,28,2,1
3173,2746,21,-2,22,28,2,1
4635,4144,19,-2,23,28,2,1
5938,5438,19,-1,24,28,2,1
5577,6702,17,0,1,29,3,1
6017,7101,17,1,2,29,3,1
6197,7255,18,1,3,29,3,1
6234,7218,17,2,4,29,3,1
5916,6812,18,2,5,29,3,1
4791,5598,18,2,6,29,3,1
2762,3503,18,3,7,29,3,1
1700,2404,18,5,8,29,3,1
1559,2237,20,5,9,29,3,1
1488,2197,22,5,10,29,3,1
1484,2138,25,4,11,29,3,1
1537,2175,26,5,12,29,3,1
1655,2307,26,9,13,29,3,1
1796,2392,27,14,14,29,3,1
1987,2485,27,17,15,29,3,1
1886,2404,27,21,16,29,3,1
1234,1727,26,23,17,29,3,1
34,173,26,24,18,29,3,1
0,0,27,24,19,29,3,1
490,281,27,24,20,29,3,1
1287,941,27,25,21,29,3,1
2475,1931,27,25,22,29,3,1
4002,3470,27,25,23,29,3,1
5352,4716,27,25,24,29,3,1
5217,6433,27,25,1,30,4,1
5650,6801,27,25,2,30,4,1
5913,6922,26,24,3,30,4,1
5951,6854,26,24,4,30,4,1
5669,6457,26,24,5,30,4,1
4618,5357,26,23,6,30,4,1
2667,3182,26,23,7,30,4,1
1497,1986,26,23,8,30,4,1
1272,1940,26,23,9,30,4,1
1190,2111,27,23,10,30,4,1
1135,2024,28,24,11,30,4,1
1203,1988,30,25,12,30,4,1
1376,2180,31,27,13,30,4,1
1476,2324,33,27,14,30,4,1
1610,2509,33,27,15,30,4,1
1627,2410,33,28,16,30,4,1
1022,1714,33,28,17,30,4,1
0,137,33,29,18,30,4,1
141,0,33,30,19,30,4,1
695,252,33,30,20,30,4,1
1461,1024,33,30,21,30,4,1
2635,2153,33,31,22,30,4,1
4278,3479,33,31,23,30,4,1
5342,4884,33,31,24,30,4,1
6267,5889,33,32,1,31,5,1
6769,6236,34,32,2,31,5,1
7023,6374,34,32,3,31,5,1
7116,6361,34,33,4,31,5,1
6777,5983,34,33,5,31,5,1
5854,4877,35,34,6,31,5,1
4043,2603,36,35,7,31,5,1
2876,1566,36,35,8,31,5,1
2683,1439,38,37,9,31,5,1
2522,1671,41,41,10,31,5,1
2417,1677,44,42,11,31,5,1
2369,1868,46,45,12,31,5,1
2573,2140,49,48,13,31,5,1
2518,2285,50,49,14,31,5,1
2706,2569,51,50,15,31,5,1
2502,2392,53,51,16,31,5,1
1824,1786,53,51,17,31,5,1
379,338,53,51,18,31,5,1
0,0,53,51,19,31,5,1
269,539,54,51,20,31,5,1
808,1044,55,52,21,31,5,1
1829,2210,55,53,22,31,5,1
3260,3677,54,52,23,31,5,1
4421,5004,54,52,24,31,5,1
6014,4494,55,53,1,1,6,2
6429,4921,56,54,2,1,6,2
6540,5104,56,54,3,1,6,2
6475,5086,57,55,4,1,6,2
6107,4738,58,55,5,1,6,2
4889,3681,58,55,6,1,6,2
2897,1677,57,55,7,1,6,2
1818,669,56,54,8,1,6,2
1675,523,55,51,9,1,6,2
1597,565,52,46,10,1,6,2
1549,666,47,40,11,1,6,2
1649,959,45,36,12,1,6,2
1872,1239,45,29,13,1,6,2
1872,1429,44,25,14,1,6,2
1892,1777,44,20,15,1,6,2
1847,1817,43,19,16,1,6,2
1339,1160,41,16,17,1,6,2
101,0,39,15,18,1,6,2
0,103,37,14,19,1,6,2
445,575,36,13,20,1,6,2
996,1263,34,13,21,1,6,2
1799,2201,32,13,22,1,6,2
2930,3398,32,12,23,1,6,2
4088,4602,30,10,24,1,6,2
4113,4517,30,12,1,2,7,2
4582,4976,29,12,2,2,7,2
4828,5169,28,11,3,2,7,2
4913,5217,27,9,4,2,7,2
4772,5030,27,7,5,2,7,2
4341,4541,26,9,6,2,7,2
3554,3732,25,9,7,2,7,2
2735,2924,26,10,8,2,7,2
1908,2036,26,10,9,2,7,2
1462,1520,27,11,10,2,7,2
1365,1394,28,9,11,2,7,2
1484,1542,29,7,12,2,7,2
1764,1827,29,5,13,2,7,2
2060,2191,30,5,14,2,7,2
2160,2395,29,5,15,2,7,2
2072,2328,29,4,16,2,7,2
1388,1579,28,4,17,2,7,2
92,94,26,4,18,2,7,2
0,0,25,4,19,2,7,2
423,426,24,3,20,2,7,2
980,900,23,3,21,2,7,2
1755,1641,22,4,22,2,7,2
2822,2632,21,3,23,2,7,2
3829,3641,21,4,24,2,7,2
4952,4516,20,4,1,3,1,2
5424,4972,20,5,2,3,1,2
5688,5196,19,6,3,3,1,2
5829,5277,19,5,4,3,1,2
5765,5217,18,4,5,3,1,2
5445,4930,17,4,6,3,1,2
4848,4311,16,3,7,3,1,2
4173,3696,16,3,8,3,1,2
3217,2881,17,4,9,3,1,2
2530,2379,20,4,10,3,1,2
2185,2191,21,4,11,3,1,2
2036,2192,24,4,12,3,1,2
2027,2342,25,4,13,3,1,2
2102,2656,27,4,14,3,1,2
2181,2868,28,5,15,3,1,2
2024,2784,28,5,16,3,1,2
1313,1949,27,4,17,3,1,2
0,274,27,4,18,3,1,2
91,0,26,6,19,3,1,2
859,413,26,7,20,3,1,2
1441,1053,26,8,21,3,1,2
2166,2154,25,10,22,3,1,2
3169,3412,24,11,23,3,1,2
4177,4546,24,12,24,3,1,2
6587,6221,23,13,1,4,2,2
7017,6542,22,14,2,4,2,2
7112,6675,22,15,3,4,2,2
7070,6640,22,16,4,4,2,2
6671,6278,21,16,5,4,2,2
5423,5137,20,16,6,4,2,2
3427,3048,19,14,7,4,2,2
2322,1972,19,15,8,4,2,2
2229,1833,19,15,9,4,2,2
2346,1810,22,16,10,4,2,2
2049,1694,23,16,11,4,2,2
2115,1694,25,16,12,4,2,2
2235,1737,26,16,13,4,2,2
2343,1790,27,15,14,4,2,2
2479,1929,27,15,15,4,2,2
2472,1768,28,15,16,4,2,2
1822,1025,27,16,17,4,2,2
282,0,26,15,18,4,2,2
0,347,26,15,19,4,2,2
398,1027,25,16,20,4,2,2
1030,1937,24,16,21,4,2,2
2274,3173,24,16,22,4,2,2
3853,4635,23,16,23,4,2,2
5105,5938,23,15,24,4,2,2
5712,5577,23,14,1,5,3,2
6147,6017,22,13,2,5,3,2
6351,6197,22,13,3,5,3,2
6356,6234,22,13,4,5,3,2
6014,5916,22,13,5,5,3,2
4873,4791,21,12,6,5,3,2
2772,2762,21,12,7,5,3,2
1691,1700,20,11,8,5,3,2
1519,1559,21,11,9,5,3,2
1560,1488,23,11,10,5,3,2
1506,1484,25,9,11,5,3,2
1570,1537,26,7,12,5,3,2
1739,1655,27,6,13,5,3,2
1843,1796,28,6,14,5,3,2
2066,1987,28,4,15,5,3,2
2072,1886,27,4,16,5,3,2
1432,1234,27,3,17,5,3,2
142,34,25,4,18,5,3,2
0,0,25,3,19,5,3,2
415,490,24,3,20,5,3,2
1152,1287,23,3,21,5,3,2
2325,2475,21,4,22,5,3,2
3869,4002,21,4,23,5,3,2
5190,5352,20,5,24,5,3,2
5544,5217,20,5,1,6,4,2
5938,5650,20,5,2,6,4,2
6128,5913,20,6,3,6,4,2
6182,5951,19,6,4,6,4,2
5870,5669,20,7,5,6,4,2
4726,4618,19,8,6,6,4,2
2679,2667,19,8,7,6,4,2
1706,1497,19,8,8,6,4,2
1650,1272,20,9,9,6,4,2
1744,1190,21,8,10,6,4,2
1902,1135,22,8,11,6,4,2
2170,1203,24,8,12,6,4,2
2255,1376,25,8,13,6,4,2
2265,1476,25,9,14,6,4,2
2418,1610,26,10,15,6,4,2
2458,1627,27,11,16,6,4,2
1962,1022,26,13,17,6,4,2
495,0,26,13,18,6,4,2
0,141,25,15,19,6,4,2
306,695,25,16,20,6,4,2
857,1461,24,17,21,6,4,2
1894,2635,24,19,22,6,4,2
3348,4278,24,19,23,6,4,2
4663,5342,24,19,24,6,4,2
5541,6267,24,20,1,7,5,2
5885,6769,24,20,2,7,5,2
6021,7023,24,20,3,7,5,2
6002,7116,24,20,4,7,5,2
5546,6777,24,20,5,7,5,2
4329,5854,24,21,6,7,5,2
2140,4043,24,21,7,7,5,2
1158,2876,24,21,8,7,5,2
965,2683,24,21,9,7,5,2
1075,2522,27,22,10,7,5,2
1216,2417,30,23,11,7,5,2
1448,2369,33,22,12,7,5,2
1790,2573,35,21,13,7,5,2
1978,2518,35,19,14,7,5,2
2185,2706,36,17,15,7,5,2
2175,2502,36,16,16,7,5,2
1698,1824,35,14,17,7,5,2
439,379,34,12,18,7,5,2
0,0,32,10,19,7,5,2
229,269,30,8,20,7,5,2
676,808,28,5,21,7,5,2
1708,1829,26,3,22,7,5,2
3074,3260,25,1,23,7,5,2
4438,4421,24,0,24,7,5,2
5218,6014,22,1,1,8,6,2
5739,6429,21,1,2,8,6,2
5979,6540,20,1,3,8,6,2
6045,6475,19,2,4,8,6,2
5740,6107,18,0,5,8,6,2
4833,4889,17,0,6,8,6,2
3396,2897,17,0,7,8,6,2
2256,1818,16,1,8,8,6,2
1433,1675,18,1,9,8,6,2
856,1597,20,0,10,8,6,2
533,1549,22,-1,11,8,6,2
486,1649,23,-1,12,8,6,2
640,1872,25,-2,13,8,6,2
844,1872,27,-1,14,8,6,2
1221,1892,28,-1,15,8,6,2
1498,1847,28,-1,16,8,6,2
1121,1339,28,0,17,8,6,2
0,101,26,0,18,8,6,2
288,0,26,1,19,8,6,2
1091,445,26,3,20,8,6,2
2220,996,25,4,21,8,6,2
3379,1799,25,4,22,8,6,2
4564,2930,24,7,23,8,6,2
5596,4088,24,8,24,8,6,2
5115,4113,24,9,1,9,7,2
5486,4582,24,9,2,9,7,2
5724,4828,24,10,3,9,7,2
5714,4913,24,12,4,9,7,2
5648,4772,24,13,5,9,7,2
5405,4341,24,16,6,9,7,2
4873,3554,25,17,7,9,7,2
4425,2735,25,18,8,9,7,2
3640,1908,25,19,9,9,7,2
3013,1462,26,20,10,9,7,2
2698,1365,26,22,11,9,7,2
2555,1484,26,23,12,9,7,2
2573,1764,27,23,13,9,7,2
2700,2060,26,23,14,9,7,2
2716,2160,26,23,15,9,7,2
2663,2072,26,23,16,9,7,2
2147,1388,26,23,17,9,7,2
600,92,25,22,18,9,7,2
0,0,25,23,19,9,7,2
465,423,25,22,20,9,7,2
1081,980,24,22,21,9,7,2
1840,1755,23,21,22,9,7,2
2874,2822,21,19,23,9,7,2
3723,3829,19,16,24,9,7,2
4393,4952,19,16,1,10,1,2
4778,5424,18,15,2,10,1,2
4930,5688,18,15,3,10,1,2
4983,5829,18,15,4,10,1,2
4888,5765,19,16,5,10,1,2
4538,5445,19,16,6,10,1,2
3994,4848,19,16,7,10,1,2
3435,4173,19,15,8,10,1,2
2731,3217,19,14,9,10,1,2
2355,2530,19,12,10,10,1,2
2265,2185,18,12,11,10,1,2
2319,2036,18,11,12,10,1,2
2516,2027,20,11,13,10,1,2
2848,2102,20,10,14,10,1,2
3052,2181,21,9,15,10,1,2
2959,2024,22,7,16,10,1,2
2327,1313,22,6,17,10,1,2
724,0,21,5,18,10,1,2
0,91,19,3,19,10,1,2
320,859,19,3,20,10,1,2
962,1441,18,2,21,10,1,2
1861,2166,17,1,22,10,1,2
2935,3169,16,1,23,10,1,2
3780,4177,15,0,24,10,1,2
5498,6587,14,-1,1,11,2,2
5808,7017,14,-1,2,11,2,2
5981,7112,13,-2,3,11,2,2
5975,7070,12,-2,4,11,2,2
5664,6671,11,-1,5,11,2,2
4732,5423,10,-2,6,11,2,2
3163,3427,7,-5,7,11,2,2
2182,2322,7,-4,8,11,2,2
1616,2229,10,-3,9,11,2,2
1197,2346,16,-3,10,11,2,2
886,2049,21,-1,11,11,2,2
802,2115,24,2,12,11,2,2
868,2235,28,2,13,11,2,2
1076,2343,31,2,14,11,2,2
1379,2479,34,3,15,11,2,2
1509,2472,33,6,16,11,2,2
1230,1822,32,7,17,11,2,2
175,282,30,6,18,11,2,2
0,0,30,4,19,11,2,2
599,398,26,7,20,11,2,2
1444,1030,25,8,21,11,2,2
2624,2274,23,7,22,11,2,2
4060,3853,21,8,23,11,2,2
5325,5105,19,7,24,11,2,2
5675,5712,20,9,1,12,3,2
6099,6147,19,8,2,12,3,2
6298,6351,20,9,3,12,3,2
6279,6356,21,10,4,12,3,2
5899,6014,22,12,5,12,3,2
4830,4873,22,13,6,12,3,2
3031,2772,23,15,7,12,3,2
2155,1691,25,17,8,12,3,2
1942,1519,26,19,9,12,3,2
1877,1560,28,21,10,12,3,2
1823,1506,29,26,11,12,3,2
1864,1570,31,29,12,12,3,2
1984,1739,32,30,13,12,3,2
2097,1843,34,32,14,12,3,2
2176,2066,36,35,15,12,3,2
2097,2072,37,36,16,12,3,2
1658,1432,38,37,17,12,3,2
494,142,38,37,18,12,3,2
0,0,38,37,19,12,3,2
347,415,38,37,20,12,3,2
965,1152,37,37,21,12,3,2
2049,2325,37,36,22,12,3,2
3454,3869,38,37,23,12,3,2
4708,5190,37,35,24,12,3,2
5321,5544,37,35,1,13,4,2
5750,5938,37,33,2,13,4,2
5919,6128,37,31,3,13,4,2
5918,6182,37,29,4,13,4,2
5526,5870,36,28,5,13,4,2
4357,4726,35,28,6,13,4,2
2401,2679,35,27,7,13,4,2
1520,1706,36,27,8,13,4,2
1488,1650,36,27,9,13,4,2
1607,1744,38,28,10,13,4,2
1679,1902,40,25,11,13,4,2
1858,2170,40,25,12,13,4,2
2083,2255,41,25,13,13,4,2
2206,2265,41,25,14,13,4,2
2400,2418,41,25,15,13,4,2
2429,2458,41,25,16,13,4,2
1945,1962,40,25,17,13,4,2
589,495,39,25,18,13,4,2
0,0,38,25,19,13,4,2
282,306,37,25,20,13,4,2
872,857,37,25,21,13,4,2
1883,1894,36,24,22,13,4,2
3304,3348,36,24,23,13,4,2
4612,4663,35,24,24,13,4,2
5053,5541,35,23,1,14,5,2
5517,5885,33,21,2,14,5,2
5724,6021,33,21,3,14,5,2
5709,6002,32,21,4,14,5,2
5349,5546,32,21,5,14,5,2
4184,4329,32,21,6,14,5,2
2187,2140,32,21,7,14,5,2
1276,1158,30,21,8,14,5,2
1238,965,32,22,9,14,5,2
1345,1075,34,22,10,14,5,2
1400,1216,35,22,11,14,5,2
1564,1448,37,21,12,14,5,2
1856,1790,38,21,13,14,5,2
2029,1978,38,22,14,14,5,2
2233,2185,38,22,15,14,5,2
2292,2175,39,22,16,14,5,2
1935,1698,39,21,17,14,5,2
673,439,37,23,18,14,5,2
0,0,36,23,19,14,5,2
254,229,35,23,20,14,5,2
790,676,34,23,21,14,5,2
1757,1708,34,23,22,14,5,2
3099,3074,33,23,23,14,5,2
4261,4438,33,23,24,14,5,2
4378,5218,32,25,1,15,6,2
4779,5739,32,26,2,15,6,2
4958,5979,31,26,3,15,6,2
4965,6045,31,25,4,15,6,2
4650,5740,30,24,5,15,6,2
3573,4833,30,23,6,15,6,2
1679,3396,28,21,7,15,6,2
748,2256,28,20,8,15,6,2
659,1433,30,21,9,15,6,2
744,856,33,20,10,15,6,2
875,533,36,20,11,15,6,2
1078,486,37,19,12,15,6,2
1371,640,39,18,13,15,6,2
1545,844,39,18,14,15,6,2
1782,1221,40,19,15,15,6,2
1880,1498,39,21,16,15,6,2
1621,1121,40,21,17,15,6,2
549,0,39,21,18,15,6,2
0,288,37,22,19,15,6,2
375,1091,35,21,20,15,6,2
910,2220,34,22,21,15,6,2
1673,3379,32,22,22,15,6,2
2752,4564,33,23,23,15,6,2
3911,5596,32,23,24,15,6,2
4592,5115,32,23,1,16,7,2
5047,5486,30,23,2,16,7,2
5289,5724,29,24,3,16,7,2
5370,5714,29,24,4,16,7,2
5221,5648,29,25,5,16,7,2
4754,5405,29,27,6,16,7,2
4001,4873,30,27,7,16,7,2
3112,4425,30,28,8,16,7,2
2074,3640,32,29,9,16,7,2
1419,3013,35,30,10,16,7,2
1177,2698,39,30,11,16,7,2
