Seasonal,T48Seasonal,T24Dry,T24Dew,Hour,Date,WeekDay,Month
7361,4167,40,29,4,21,2,1
6970,4143,39,30,5,21,2,1
6032,3791,39,29,6,21,2,1
4668,3102,39,29,7,21,2,1
3540,2333,38,29,8,21,2,1
2774,1532,39,29,9,21,2,1
2222,963,41,29,10,21,2,1
1866,783,45,28,11,21,2,1
1903,888,48,27,12,21,2,1
2075,1216,50,26,13,21,2,1
2051,1623,49,26,14,21,2,1
2100,1922,47,26,15,21,2,1
1995,1986,46,24,16,21,2,1
1121,1302,45,17,17,21,2,1
0,0,41,15,18,21,2,1
187,112,37,14,19,21,2,1
733,623,34,13,20,21,2,1
1466,1164,32,11,21,21,2,1
2746,1920,30,10,22,21,2,1
4144,2911,29,8,23,21,2,1
5438,3939,28,7,24,21,2,1
6702,4716,27,6,1,22,3,1
7101,5268,25,8,2,22,3,1
7255,5562,24,6,3,22,3,1
7218,5701,23,6,4,22,3,1
6812,5638,21,5,5,22,3,1
5598,5367,20,3,6,22,3,1
3503,4767,20,4,7,22,3,1
2404,4180,19,5,8,22,3,1
2237,3356,20,5,9,22,3,1
2197,2763,21,5,10,22,3,1
2138,2485,22,4,11,22,3,1
2175,2361,24,4,12,22,3,1
2307,2287,25,5,13,22,3,1
2392,2316,26,5,14,22,3,1
2485,2410,26,6,15,22,3,1
2404,2350,26,6,16,22,3,1
1727,1569,26,9,17,22,3,1
173,53,24,13,18,22,3,1
0,0,24,15,19,22,3,1
281,614,23,16,20,22,3,1
941,1026,23,18,21,22,3,1
1931,1718,22,18,22,22,3,1
3470,2588,21,18,23,22,3,1
4716,3611,21,18,24,22,3,1
6433,6933,21,17,1,23,4,1
6801,7290,20,16,2,23,4,1
6922,7413,21,17,3,23,4,1
6854,7361,20,15,4,23,4,1
6457,6970,20,13,5,23,4,1
5357,6032,19,11,6,23,4,1
3182,4668,18,11,7,23,4,1
1986,3540,18,9,8,23,4,1
1940,2774,17,6,9,23,4,1
2111,2222,18,4,10,23,4,1
2024,1866,19,3,11,23,4,1
1988,1903,20,1,12,23,4,1
2180,2075,20,0,13,23,4,1
2324,2051,20,-1,14,23,4,1
2509,2100,20,-2,15,23,4,1
2410,1995,21,-2,16,23,4,1
1714,1121,20,-3,17,23,4,1
137,0,17,-3,18,23,4,1
0,187,17,-3,19,23,4,1
252,733,15,-2,20,23,4,1
1024,1466,14,-5,21,23,4,1
2153,2746,13,-5,22,23,4,1
3479,4144,12,-4,23,23,4,1
4884,5438,11,-6,24,23,4,1
5889,6702,10,-5,1,24,5,1
6236,7101,9,-5,2,24,5,1
6374,7255,8,-6,3,24,5,1
6361,7218,8,-6,4,24,5,1
5983,6812,7,-6,5,24,5,1
4877,5598,7,-7,6,24,5,1
2603,3503,6,-7,7,24,5,1
1566,2404,5,-8,8,24,5,1
1439,2237,6,-7,9,24,5,1
1671,2197,8,-8,10,24,5,1
1677,2138,9,-9,11,24,5,1
1868,2175,10,-9,12,24,5,1
2140,2307,12,-10,13,24,5,1
2285,2392,13,-11,14,24,5,1
2569,2485,13,-10,15,24,5,1
2392,2404,14,-10,16,24,5,1
1786,1727,12,-12,17,24,5,1
338,173,11,-12,18,24,5,1
0,0,10,-11,19,24,5,1
539,281,9,-11,20,24,5,1
1044,941,8,-12,21,24,5,1
2210,1931,7,-11,22,24,5,1
3677,3470,6,-11,23,24,5,1
5004,4716,5,-11,24,24,5,1
4494,6433,4,-11,1,25,6,1
4921,6801,3,-11,2,25,6,1
5104,6922,3,-11,3,25,6,1
5086,6854,3,-11,4,25,6,1
4738,6457,1,-10,5,25,6,1
3681,5357,1,-11,6,25,6,1
1677,3182,1,-11,7,25,6,1
669,1986,1,-11,8,25,6,1
523,1940,2,-11,9,25,6,1
565,2111,5,-11,10,25,6,1
666,2024,8,-10,11,25,6,1
959,1988,12,-10,12,25,6,1
1239,2180,14,-10,13,25,6,1
1429,2324,17,-10,14,25,6,1
1777,2509,18,-11,15,25,6,1
1817,2410,18,-10,16,25,6,1
1160,1714,17,-11,17,25,6,1
0,137,15,-11,18,25,6,1
103,0,15,-11,19,25,6,1
575,252,14,-11,20,25,6,1
1263,1024,13,-9,21,25,6,1
2201,2153,12,-8,22,25,6,1
3398,3479,11,-8,23,25,6,1
4602,4884,11,-9,24,25,6,1
4517,5889,10,-9,1,26,7,1
4976,6236,10,-8,2,26,7,1
5169,6374,9,-9,3,26,7,1
5217,6361,8,-9,4,26,7,1
5030,5983,8,-8,5,26,7,1
4541,4877,8,-8,6,26,7,1
3732,2603,7,-8,7,26,7,1
2924,1566,7,-8,8,26,7,1
2036,1439,8,-8,9,26,7,1
1520,1671,11,-8,10,26,7,1
1394,1677,13,-8,11,26,7,1
1542,1868,16,-8,12,26,7,1
1827,2140,18,-8,13,26,7,1
2191,2285,19,-8,14,26,7,1
2395,2569,20,-8,15,26,7,1
2328,2392,21,-8,16,26,7,1
1579,1786,20,-6,17,26,7,1
94,338,20,-6,18,26,7,1
0,0,20,-5,19,26,7,1
426,539,19,-4,20,26,7,1
900,1044,19,-3,21,26,7,1
1641,2210,18,2,22,26,7,1
2632,3677,17,5,23,26,7,1
3641,5004,16,9,24,26,7,1
4516,4494,15,10,1,27,1,1
4972,4921,14,9,2,27,1,1
5196,5104,14,8,3,27,1,1
5277,5086,12,6,4,27,1,1
5217,4738,11,6,5,27,1,1
4930,3681,11,5,6,27,1,1
4311,1677,10,4,7,27,1,1
3696,669,10,3,8,27,1,1
2881,523,11,3,9,27,1,1
2379,565,13,3,10,27,1,1
2191,666,16,3,11,27,1,1
2192,959,18,3,12,27,1,1
2342,1239,20,3,13,27,1,1
2656,1429,22,2,14,27,1,1
2868,1777,22,-1,15,27,1,1
2784,1817,22,-2,16,27,1,1
1949,1160,21,-2,17,27,1,1
274,0,19,-3,18,27,1,1
0,103,19,-4,19,27,1,1
413,575,18,-3,20,27,1,1
1053,1263,17,-3,21,27,1,1
2154,2201,16,-2,22,27,1,1
3412,3398,15,-2,23,27,1,1
4546,4602,14,-2,24,27,1,1
6221,4517,14,-1,1,28,2,1
6542,4976,13,0,2,28,2,1
6675,5169,13,0,3,28,2,1
6640,5217,12,0,4,28,2,1
6278,5030,11,0,5,28,2,1
5137,4541,11,0,6,28,2,1
3048,3732,11,1,7,28,2,1
1972,2924,10,0,8,28,2,1
1833,2036,13,1,9,28,2,1
1810,1520,16,1,10,28,2,1
1694,1394,19,0,11,28,2,1
1694,1542,22,0,12,28,2,1
1737,1827,25,-1,13,28,2,1
1790,2191,27,-1,14,28,2,1
1929,2395,29,-2,15,28,2,1
1768,2328,29,-2,16,28,2,1
1025,1579,29,-3,17,28,2,1
0,94,26,-3,18,28,2,1
347,0,25,-3,19,28,2,1
1027,426,23,-3,20,28,2,1
1937,900,21,-3,21,28,2,1
3173,1641,21,-2,22,28,2,1
4635,2632,19,-2,23,28,2,1
5938,3641,19,-1,24,28,2,1
5577,4516,17,0,1,29,3,1
6017,4972,17,1,2,29,3,1
6197,5196,18,1,3,29,3,1
6234,5277,17,2,4,29,3,1
5916,5217,18,2,5,29,3,1
4791,4930,18,2,6,29,3,1
2762,4311,18,3,7,29,3,1
1700,3696,18,5,8,29,3,1
1559,2881,20,5,9,29,3,1
1488,2379,22,5,10,29,3,1
1484,2191,25,4,11,29,3,1
1537,2192,26,5,12,29,3,1
1655,2342,26,9,13,29,3,1
1796,2656,27,14,14,29,3,1
1987,2868,27,17,15,29,3,1
1886,2784,27,21,16,29,3,1
1234,1949,26,23,17,29,3,1
34,274,26,24,18,29,3,1
0,0,27,24,19,29,3,1
490,413,27,24,20,29,3,1
1287,1053,27,25,21,29,3,1
2475,2154,27,25,22,29,3,1
4002,3412,27,25,23,29,3,1
5352,4546,27,25,24,29,3,1
5217,6221,27,25,1,30,4,1
5650,6542,27,25,2,30,4,1
5913,6675,26,24,3,30,4,1
5951,6640,26,24,4,30,4,1
5669,6278,26,24,5,30,4,1
4618,5137,26,23,6,30,4,1
2667,3048,26,23,7,30,4,1
1497,1972,26,23,8,30,4,1
1272,1833,26,23,9,30,4,1
1190,1810,27,23,10,30,4,1
1135,1694,28,24,11,30,4,1
1203,1694,30,25,12,30,4,1
1376,1737,31,27,13,30,4,1
1476,1790,33,27,14,30,4,1
1610,1929,33,27,15,30,4,1
1627,1768,33,28,16,30,4,1
1022,1025,33,28,17,30,4,1
0,0,33,29,18,30,4,1
141,347,33,30,19,30,4,1
695,1027,33,30,20,30,4,1
1461,1937,33,30,21,30,4,1
2635,3173,33,31,22,30,4,1
4278,4635,33,31,23,30,4,1
5342,5938,33,31,24,30,4,1
6267,5577,33,32,1,31,5,1
6769,6017,34,32,2,31,5,1
7023,6197,34,32,3,31,5,1
7116,6234,34,33,4,31,5,1
6777,5916,34,33,5,31,5,1
5854,4791,35,34,6,31,5,1
4043,2762,36,35,7,31,5,1
2876,1700,36,35,8,31,5,1
2683,1559,38,37,9,31,5,1
2522,1488,41,41,10,31,5,1
2417,1484,44,42,11,31,5,1
2369,1537,46,45,12,31,5,1
2573,1655,49,48,13,31,5,1
2518,1796,50,49,14,31,5,1
2706,1987,51,50,15,31,5,1
2502,1886,53,51,16,31,5,1
1824,1234,53,51,17,31,5,1
379,34,53,51,18,31,5,1
0,0,53,51,19,31,5,1
269,490,54,51,20,31,5,1
808,1287,55,52,21,31,5,1
1829,2475,55,53,22,31,5,1
3260,4002,54,52,23,31,5,1
4421,5352,54,52,24,31,5,1
6014,5217,55,53,1,1,6,2
6429,5650,56,54,2,1,6,2
6540,5913,56,54,3,1,6,2
6475,5951,57,55,4,1,6,2
6107,5669,58,55,5,1,6,2
4889,4618,58,55,6,1,6,2
2897,2667,57,55,7,1,6,2
1818,1497,56,54,8,1,6,2
1675,1272,55,51,9,1,6,2
1597,1190,52,46,10,1,6,2
1549,1135,47,40,11,1,6,2
1649,1203,45,36,12,1,6,2
1872,1376,45,29,13,1,6,2
1872,1476,44,25,14,1,6,2
1892,1610,44,20,15,1,6,2
1847,1627,43,19,16,1,6,2
1339,1022,41,16,17,1,6,2
101,0,39,15,18,1,6,2
0,141,37,14,19,1,6,2
445,695,36,13,20,1,6,2
996,1461,34,13,21,1,6,2
1799,2635,32,13,22,1,6,2
2930,4278,32,12,23,1,6,2
4088,5342,30,10,24,1,6,2
4113,6267,30,12,1,2,7,2
4582,6769,29,12,2,2,7,2
4828,7023,28,11,3,2,7,2
4913,7116,27,9,4,2,7,2
4772,6777,27,7,5,2,7,2
4341,5854,26,9,6,2,7,2
3554,4043,25,9,7,2,7,2
2735,2876,26,10,8,2,7,2
1908,2683,26,10,9,2,7,2
1462,2522,27,11,10,2,7,2
1365,2417,28,9,11,2,7,2
1484,2369,29,7,12,2,7,2
1764,2573,29,5,13,2,7,2
2060,2518,30,5,14,2,7,2
2160,2706,29,5,15,2,7,2
2072,2502,29,4,16,2,7,2
1388,1824,28,4,17,2,7,2
92,379,26,4,18,2,7,2
0,0,25,4,19,2,7,2
423,269,24,3,20,2,7,2
980,808,23,3,21,2,7,2
1755,1829,22,4,22,2,7,2
2822,3260,21,3,23,2,7,2
3829,4421,21,4,24,2,7,2
4952,6014,20,4,1,3,1,2
5424,6429,20,5,2,3,1,2
5688,6540,19,6,3,3,1,2
5829,6475,19,5,4,3,1,2
5765,6107,18,4,5,3,1,2
5445,4889,17,4,6,3,1,2
4848,2897,16,3,7,3,1,2
4173,1818,16,3,8,3,1,2
3217,1675,17,4,9,3,1,2
2530,1597,20,4,10,3,1,2
2185,1549,21,4,11,3,1,2
2036,1649,24,4,12,3,1,2
2027,1872,25,4,13,3,1,2
2102,1872,27,4,14,3,1,2
2181,1892,28,5,15,3,1,2
2024,1847,28,5,16,3,1,2
1313,1339,27,4,17,3,1,2
0,101,27,4,18,3,1,2
91,0,26,6,19,3,1,2
859,445,26,7,20,3,1,2
1441,996,26,8,21,3,1,2
2166,1799,25,10,22,3,1,2
3169,2930,24,11,23,3,1,2
4177,4088,24,12,24,3,1,2
6587,4113,23,13,1,4,2,2
7017,4582,22,14,2,4,2,2
7112,4828,22,15,3,4,2,2
7070,4913,22,16,4,4,2,2
6671,4772,21,16,5,4,2,2
5423,4341,20,16,6,4,2,2
3427,3554,19,14,7,4,2,2
2322,2735,19,15,8,4,2,2
2229,1908,19,15,9,4,2,2
2346,1462,22,16,10,4,2,2
2049,1365,23,16,11,4,2,2
2115,1484,25,16,12,4,2,2
2235,1764,26,16,13,4,2,2
2343,2060,27,15,14,4,2,2
2479,2160,27,15,15,4,2,2
2472,2072,28,15,16,4,2,2
1822,1388,27,16,17,4,2,2
282,92,26,15,18,4,2,2
0,0,26,15,19,4,2,2
398,423,25,16,20,4,2,2
1030,980,24,16,21,4,2,2
2274,1755,24,16,22,4,2,2
3853,2822,23,16,23,4,2,2
5105,3829,23,15,24,4,2,2
5712,4952,23,14,1,5,3,2
6147,5424,22,13,2,5,3,2
6351,5688,22,13,3,5,3,2
6356,5829,22,13,4,5,3,2
6014,5765,22,13,5,5,3,2
4873,5445,21,12,6,5,3,2
2772,4848,21,12,7,5,3,2
1691,4173,20,11,8,5,3,2
1519,3217,21,11,9,5,3,2
1560,2530,23,11,10,5,3,2
1506,2185,25,9,11,5,3,2
1570,2036,26,7,12,5,3,2
1739,2027,27,6,13,5,3,2
1843,2102,28,6,14,5,3,2
2066,2181,28,4,15,5,3,2
2072,2024,27,4,16,5,3,2
1432,1313,27,3,17,5,3,2
142,0,25,4,18,5,3,2
0,91,25,3,19,5,3,2
415,859,24,3,20,5,3,2
1152,1441,23,3,21,5,3,2
2325,2166,21,4,22,5,3,2
3869,3169,21,4,23,5,3,2
5190,4177,20,5,24,5,3,2
5544,6587,20,5,1,6,4,2
5938,7017,20,5,2,6,4,2
6128,7112,20,6,3,6,4,2
6182,7070,19,6,4,6,4,2
5870,6671,20,7,5,6,4,2
4726,5423,19,8,6,6,4,2
2679,3427,19,8,7,6,4,2
1706,2322,19,8,8,6,4,2
1650,2229,20,9,9,6,4,2
1744,2346,21,8,10,6,4,2
1902,2049,22,8,11,6,4,2
2170,2115,24,8,12,6,4,2
2255,2235,25,8,13,6,4,2
2265,2343,25,9,14,6,4,2
2418,2479,26,10,15,6,4,2
2458,2472,27,11,16,6,4,2
1962,1822,26,13,17,6,4,2
495,282,26,13,18,6,4,2
0,0,25,15,19,6,4,2
306,398,25,16,20,6,4,2
857,1030,24,17,21,6,4,2
1894,2274,24,19,22,6,4,2
3348,3853,24,19,23,6,4,2
4663,5105,24,19,24,6,4,2
5541,5712,24,20,1,7,5,2
5885,6147,24,20,2,7,5,2
6021,6351,24,20,3,7,5,2
6002,6356,24,20,4,7,5,2
5546,6014,24,20,5,7,5,2
4329,4873,24,21,6,7,5,2
2140,2772,24,21,7,7,5,2
1158,1691,24,21,8,7,5,2
965,1519,24,21,9,7,5,2
1075,1560,27,22,10,7,5,2
1216,1506,30,23,11,7,5,2
1448,1570,33,22,12,7,5,2
1790,1739,35,21,13,7,5,2
1978,1843,35,19,14,7,5,2
2185,2066,36,17,15,7,5,2
2175,2072,36,16,16,7,5,2
1698,1432,35,14,17,7,5,2
439,142,34,12,18,7,5,2
0,0,32,10,19,7,5,2
229,415,30,8,20,7,5,2
676,1152,28,5,21,7,5,2
1708,2325,26,3,22,7,5,2
3074,3869,25,1,23,7,5,2
4438,5190,24,0,24,7,5,2
5218,5544,22,1,1,8,6,2
5739,5938,21,1,2,8,6,2
5979,6128,20,1,3,8,6,2
6045,6182,19,2,4,8,6,2
5740,5870,18,0,5,8,6,2
4833,4726,17,0,6,8,6,2
3396,2679,17,0,7,8,6,2
2256,1706,16,1,8,8,6,2
1433,1650,18,1,9,8,6,2
856,1744,20,0,10,8,6,2
533,1902,22,-1,11,8,6,2
486,2170,23,-1,12,8,6,2
640,2255,25,-2,13,8,6,2
844,2265,27,-1,14,8,6,2
1221,2418,28,-1,15,8,6,2
1498,2458,28,-1,16,8,6,2
1121,1962,28,0,17,8,6,2
0,495,26,0,18,8,6,2
288,0,26,1,19,8,6,2
1091,306,26,3,20,8,6,2
2220,857,25,4,21,8,6,2
3379,1894,25,4,22,8,6,2
4564,3348,24,7,23,8,6,2
5596,4663,24,8,24,8,6,2
5115,5541,24,9,1,9,7,2
5486,5885,24,9,2,9,7,2
5724,6021,24,10,3,9,7,2
5714,6002,24,12,4,9,7,2
5648,5546,24,13,5,9,7,2
5405,4329,24,16,6,9,7,2
4873,2140,25,17,7,9,7,2
4425,1158,25,18,8,9,7,2
3640,965,25,19,9,9,7,2
3013,1075,26,20,10,9,7,2
2698,1216,26,22,11,9,7,2
2555,1448,26,23,12,9,7,2
2573,1790,27,23,13,9,7,2
2700,1978,26,23,14,9,7,2
2716,2185,26,23,15,9,7,2
2663,2175,26,23,16,9,7,2
2147,1698,26,23,17,9,7,2
600,439,25,22,18,9,7,2
0,0,25,23,19,9,7,2
465,229,25,22,20,9,7,2
1081,676,24,22,21,9,7,2
1840,1708,23,21,22,9,7,2
2874,3074,21,19,23,9,7,2
3723,4438,19,16,24,9,7,2
4393,5218,19,16,1,10,1,2
4778,5739,18,15,2,10,1,2
4930,5979,18,15,3,10,1,2
4983,6045,18,15,4,10,1,2
4888,5740,19,16,5,10,1,2
4538,4833,19,16,6,10,1,2
3994,3396,19,16,7,10,1,2
3435,2256,19,15,8,10,1,2
2731,1433,19,14,9,10,1,2
2355,856,19,12,10,10,1,2
2265,533,18,12,11,10,1,2
2319,486,18,11,12,10,1,2
2516,640,20,11,13,10,1,2
2848,844,20,10,14,10,1,2
3052,1221,21,9,15,10,1,2
2959,1498,22,7,16,10,1,2
2327,1121,22,6,17,10,1,2
724,0,21,5,18,10,1,2
0,288,19,3,19,10,1,2
320,1091,19,3,20,10,1,2
962,2220,18,2,21,10,1,2
1861,3379,17,1,22,10,1,2
2935,4564,16,1,23,10,1,2
3780,5596,15,0,24,10,1,2
5498,5115,14,-1,1,11,2,2
5808,5486,14,-1,2,11,2,2
5981,5724,13,-2,3,11,2,2
5975,5714,12,-2,4,11,2,2
5664,5648,11,-1,5,11,2,2
4732,5405,10,-2,6,11,2,2
3163,4873,7,-5,7,11,2,2
2182,4425,7,-4,8,11,2,2
1616,3640,10,-3,9,11,2,2
1197,3013,16,-3,10,11,2,2
886,2698,21,-1,11,11,2,2
802,2555,24,2,12,11,2,2
868,2573,28,2,13,11,2,2
1076,2700,31,2,14,11,2,2
1379,2716,34,3,15,11,2,2
1509,2663,33,6,16,11,2,2
1230,2147,32,7,17,11,2,2
175,600,30,6,18,11,2,2
0,0,30,4,19,11,2,2
599,465,26,7,20,11,2,2
1444,1081,25,8,21,11,2,2
2624,1840,23,7,22,11,2,2
4060,2874,21,8,23,11,2,2
5325,3723,19,7,24,11,2,2
5675,4393,20,9,1,12,3,2
6099,4778,19,8,2,12,3,2
6298,4930,20,9,3,12,3,2
6279,4983,21,10,4,12,3,2
5899,4888,22,12,5,12,3,2
4830,4538,22,13,6,12,3,2
3031,3994,23,15,7,12,3,2
2155,3435,25,17,8,12,3,2
1942,2731,26,19,9,12,3,2
1877,2355,28,21,10,12,3,2
1823,2265,29,26,11,12,3,2
1864,2319,31,29,12,12,3,2
1984,2516,32,30,13,12,3,2
2097,2848,34,32,14,12,3,2
2176,3052,36,35,15,12,3,2
2097,2959,37,36,16,12,3,2
1658,2327,38,37,17,12,3,2
494,724,38,37,18,12,3,2
0,0,38,37,19,12,3,2
347,320,38,37,20,12,3,2
965,962,37,37,21,12,3,2
2049,1861,37,36,22,12,3,2
3454,2935,38,37,23,12,3,2
4708,3780,37,35,24,12,3,2
5321,5498,37,35,1,13,4,2
5750,5808,37,33,2,13,4,2
5919,5981,37,31,3,13,4,2
5918,5975,37,29,4,13,4,2
5526,5664,36,28,5,13,4,2
4357,4732,35,28,6,13,4,2
2401,3163,35,27,7,13,4,2
1520,2182,36,27,8,13,4,2
1488,1616,36,27,9,13,4,2
1607,1197,38,28,10,13,4,2
1679,886,40,25,11,13,4,2
1858,802,40,25,12,13,4,2
2083,868,41,25,13,13,4,2
2206,1076,41,25,14,13,4,2
2400,1379,41,25,15,13,4,2
2429,1509,41,25,16,13,4,2
1945,1230,40,25,17,13,4,2
589,175,39,25,18,13,4,2
0,0,38,25,19,13,4,2
282,599,37,25,20,13,4,2
872,1444,37,25,21,13,4,2
1883,2624,36,24,22,13,4,2
3304,4060,36,24,23,13,4,2
4612,5325,35,24,24,13,4,2
5053,5675,35,23,1,14,5,2
5517,6099,33,21,2,14,5,2
5724,6298,33,21,3,14,5,2
5709,6279,32,21,4,14,5,2
5349,5899,32,21,5,14,5,2
4184,4830,32,21,6,14,5,2
2187,3031,32,21,7,14,5,2
1276,2155,30,21,8,14,5,2
1238,1942,32,22,9,14,5,2
1345,1877,34,22,10,14,5,2
1400,1823,35,22,11,14,5,2
1564,1864,37,21,12,14,5,2
1856,1984,38,21,13,14,5,2
2029,2097,38,22,14,14,5,2
2233,2176,38,22,15,14,5,2
2292,2097,39,22,16,14,5,2
1935,1658,39,21,17,14,5,2
673,494,37,23,18,14,5,2
0,0,36,23,19,14,5,2
254,347,35,23,20,14,5,2
790,965,34,23,21,14,5,2
1757,2049,34,23,22,14,5,2
3099,3454,33,23,23,14,5,2
4261,4708,33,23,24,14,5,2
4378,5321,32,25,1,15,6,2
4779,5750,32,26,2,15,6,2
4958,5919,31,26,3,15,6,2
4965,5918,31,25,4,15,6,2
4650,5526,30,24,5,15,6,2
3573,4357,30,23,6,15,6,2
1679,2401,28,21,7,15,6,2
748,1520,28,20,8,15,6,2
659,1488,30,21,9,15,6,2
744,1607,33,20,10,15,6,2
875,1679,36,20,11,15,6,2
1078,1858,37,19,12,15,6,2
1371,2083,39,18,13,15,6,2
1545,2206,39,18,14,15,6,2
1782,2400,40,19,15,15,6,2
1880,2429,39,21,16,15,6,2
1621,1945,40,21,17,15,6,2
549,589,39,21,18,15,6,2
0,0,37,22,19,15,6,2
375,282,35,21,20,15,6,2
910,872,34,22,21,15,6,2
1673,1883,32,22,22,15,6,2
2752,3304,33,23,23,15,6,2
3911,4612,32,23,24,15,6,2
4592,5053,32,23,1,16,7,2
5047,5517,30,23,2,16,7,2
5289,5724,29,24,3,16,7,2
5370,5709,29,24,4,16,7,2
5221,5349,29,25,5,16,7,2
4754,4184,29,27,6,16,7,2
4001,2187,30,27,7,16,7,2
3112,1276,30,28,8,16,7,2
2074,1238,32,29,9,16,7,2
1419,1345,35,30,10,16,7,2
1177,1400,39,30,11,16,7,2
